path,title,role,words,automatic_priority,missing_expected_signals,risk_flags,manual_decision,manual_issue_types,manual_reason
content/ia-educacion/practicas/comprobar-afirmacion/index.md,Comprueba la afirmación que cambia tu decisión,practica,168,media,quien,,conservar,,"Es una práctica breve pero completa: parte de material visible, sitúa el momento antes de repetir o usar una afirmación, define acciones, producto, fuente de comprobación y decisiones posibles, incluido dejar el asunto pendiente."
content/laboratorio/practicas/abp-con-ia/index.md,Plantilla de proyecto ABP con IA para 14 semanas,practica,1217,media,lenguaje_directo,material-central-se-genera-pero-no-se-muestra,cambiar,procedencia-no-verificada|material-inicial-ausente|privacidad,"Convertida honestamente en escenario (lote 05, 2026-08-24): reescrita como plantilla de proyecto de 14 semanas con estado declarado de actividad propuesta, problema inicial de ejemplo, alternativa sin IA, riesgos y preguntas de revisión. Se retiraron el grupo de 28 estudiantes y los resultados sin procedencia."
content/laboratorio/practicas/analisis-critico-de-sesgos-en-ia/index.md,Análisis crítico de sesgos en la IA,practica,375,media,situacion,,cambiar,arco_incompleto|estado_de_implementacion_ambiguo|metodologia_de_comparacion|privacidad|acceso_y_equidad|simplificacion_conceptual,"Tiene una base sólida —contexto, objetivos, secuencia, producto y evaluación—, pero aún no completa el arco de una práctica publicable como experiencia real. Debe declarar si es propuesta o implementación, operacionalizar la auditoría para que no confunda una respuesta aislada con comportamiento estable, incorporar seguridad y privacidad, y añadir recursos, tiempos, accesibilidad, resultados o una sección explícita de pilotaje pendiente."
content/laboratorio/practicas/debate-socratico-con-ia/index.md,Actividad propuesta: preparar un debate socrático con IA,practica,924,media,,solicita-conversacion-completa,cambiar,procedencia-no-verificada|material-inicial-ausente|privacidad,"Convertida honestamente en escenario (lote 05, 2026-08-24): reescrita como actividad propuesta con tesis de ejemplo, descriptores de rúbrica, dos objeciones seleccionadas en lugar de la conversación completa y alternativa sin IA. Se retiraron el grupo de 32, el 78 % y la comparación con otro semestre."
content/observatorio/_index.md,Observatorio de IA y pedagogía digital,navegacion,138,media,situacion|quien|lenguaje_directo,,cambiar,audiencia_no_explicita|utilidad_decisional_no_explicita|solapamiento_taxonomico,"Los tres destinos se distinguen razonablemente y la página debe mantenerse como hub. Requiere cambio porque no identifica a sus públicos ni convierte las rutas en decisiones concretas: consultar evidencia para diagnóstico, escoger un método de evaluación/documentación o reutilizar materiales. También conviene evitar el solapamiento verbal entre “estudios de caso”, “buenas prácticas” y “documentación”."
content/observatorio/documentacion/_index.md,Documentación y seguimiento,navegacion,160,media,quien|acciones|lenguaje_directo,,cambiar,desalineacion_con_destinos|promesa_editorial_inexacta|frontera_con_laboratorio|arquitectura_de_informacion,"La separación conceptual respecto de estudios y marcos metodológicos es valiosa, pero la portada promete principalmente casos y guías de implementación, mientras la colección actual también contiene monitoreo de publicaciones, herramientas emergentes y redes de investigación. Debe alinear su descripción con los destinos reales y explicar cuándo consultar documentación en vez de prácticas del Laboratorio o guías del Observatorio."
content/_index.md,Aprendizaje digital e IA,navegacion,244,baja,,,pendiente,,
content/about.md,Acerca del proyecto,pagina,635,baja,lenguaje_directo,,cambiar,alcance-institucional-no-verificado|promesa-editorial-inexacta|autoría-imprecisa,"Se retiraron la prioridad institucional general y las promesas de prácticas propias documentadas que las fuentes disponibles no sostenían; la página declara autoría, relación con UDGPlus, alcance verificable y que no es un canal oficial."
content/blog/_index.md,Blog,navegacion,296,baja,lenguaje_directo,,conservar,,"Orienta adecuadamente a quien busca reflexión y debate, no instrucciones. Define con claridad el tipo de contenido y su diferencia respecto de otros destinos del sitio; su brevedad es legítima para un índice."
content/blog/agenciamiento-humano-ia/index.md,El agenciamiento persona-IA: ni herramienta ni reemplazo,articulo,882,baja,lenguaje_directo,,pendiente,,
content/blog/aprender-con-ia-vs-aprender-sobre-ia/index.md,Aprender con IA vs aprender sobre IA,articulo,791,baja,lenguaje_directo,,pendiente,,
content/blog/asimetria-de-la-transparencia/index.md,La asimetría de la transparencia,articulo,892,baja,,,pendiente,,
content/blog/ia-generativa-evaluacion-autentica/index.md,IA generativa y evaluación auténtica,articulo,987,baja,lenguaje_directo,,cambiar,absolutos-no-sustentados|atribucion-excesiva|receta-universal,"Se sustituyeron absolutos y la falsa respuesta institucional única por una explicación multidimensional de autenticidad y decisiones de rediseño situadas según propósito, riesgo, accesibilidad y carga."
content/blog/rizoma-digital-aprender-sin-mapa/index.md,El rizoma digital: aprender sin mapa,articulo,944,baja,,,pendiente,,
content/blog/rol-docente-era-ia/index.md,El rol del docente en la era de la IA,articulo,852,baja,,,pendiente,,
content/formacion-docente/_index.md,Formación docente,navegacion,149,baja,situacion,,conservar,,"La audiencia, el propósito general y los destinos son reconocibles. Las tarjetas permiten elegir según una necesidad formativa concreta sin exigir que el índice desarrolle las actividades completas."
content/formacion-docente/alfabetizacion-agenciamiento-ia/index.md,Alfabetización en co-creación: aprender a co-producir con IA,pagina,2004,baja,,,pendiente,,
content/formacion-docente/alfabetizacion-co-creacion/index.md,Principios de la alfabetización para la co-creación con inteligencia artificial,pagina,1068,baja,lenguaje_directo,,pendiente,,
content/formacion-docente/alfabetizacion-operativa/index.md,Principios de la alfabetización operativa en inteligencia artificial,pagina,474,baja,lenguaje_directo,,pendiente,,
content/formacion-docente/alfabetizacion/index.md,Alfabetización digital,pagina,1206,baja,lenguaje_directo,,pendiente,,
content/formacion-docente/aprendizaje-activo/index.md,Qué hace activa una experiencia de aprendizaje,pagina,917,baja,,,cambiar,atribucion-conceptual-inexacta,"Se conservó la función canónica y se corrigió una atribución demasiado restrictiva de ICAP: una interfaz conversacional no demuestra interacción, pero el marco original admite un agente computacional bajo condiciones de pertinencia, construcción y turnos."
content/formacion-docente/aprendizaje-hibrido/index.md,Conectar momentos para que el aprendizaje avance,pagina,1148,baja,,,pendiente,,
content/formacion-docente/competencias-digitales-ia-estudiantes/index.md,Competencias digitales con IA para estudiantes,pagina,970,baja,lenguaje_directo,,pendiente,,
content/formacion-docente/diseno-inverso-cocreacion-ia/_index.md,Diseño inverso y cocreación con IA,navegacion,564,baja,lenguaje_directo,,cambiar,procedencia-concurrente-nueva|recorrido-incompleto|resultado-ausente,"Índice concurrente nuevo con función recuperable, pero anuncia doce lecciones cuando solo una está disponible y no explica qué trabajo conservará la persona al cursarlo. Se separa del lote 02B y no tiene VoBo."
content/formacion-docente/diseno-inverso-cocreacion-ia/01-panorama-activo-hibrido/index.md,Panorama del aprendizaje activo e híbrido,pagina,1094,baja,lenguaje_directo,,cambiar,procedencia-concurrente-nueva|afirmaciones-de-evidencia-por-verificar|lenguaje-promocional,"Primera lección concurrente nueva con estructura aprovechable, pero mezcla beneficios de aprendizaje activo, híbrido e IA, formula conclusiones promocionales y cita evidencia de 2026 que requiere comprobación independiente. Se revisará fuera del lote 02B."
content/formacion-docente/diseno-inverso-cocreacion-ia/02-introduccion-diseno-inverso/index.md,Introducción al diseño inverso,pagina,1266,baja,lenguaje_directo,,pendiente,,
content/formacion-docente/diseno-inverso-cocreacion-ia/03-literacidades-ia/index.md,Literacidades para el uso de IA,pagina,1499,baja,lenguaje_directo,,pendiente,,
content/formacion-docente/diseno-inverso-cocreacion-ia/04-cocreacion-persona-ia/index.md,Cocreación persona–IA en el diseño docente,pagina,1400,baja,,,pendiente,,
content/formacion-docente/diseno-inverso-cocreacion-ia/05-contexto-diagnostico/index.md,Delimitación del contexto y diagnóstico inicial,pagina,1644,baja,,,pendiente,,
content/formacion-docente/diseno-inverso-cocreacion-ia/06-resultados-aprendizaje/index.md,Formulación de resultados de aprendizaje observables,pagina,1924,baja,lenguaje_directo,,pendiente,,
content/formacion-docente/diseno-inverso-cocreacion-ia/07-evidencias-criterios/index.md,Determinación de evidencias y criterios de calidad,pagina,2178,baja,lenguaje_directo,,pendiente,,
content/formacion-docente/diseno-inverso-cocreacion-ia/08-secuencias-activas-hibridas/index.md,Diseño de secuencias activas e híbridas,pagina,1439,baja,,,pendiente,,
content/formacion-docente/diseno-inverso-cocreacion-ia/09-analisis-casos/index.md,Análisis de casos,pagina,1629,baja,,,pendiente,,
content/formacion-docente/diseno-inverso-cocreacion-ia/10-limitaciones-analisis/index.md,Limitaciones del análisis,pagina,1733,baja,,,pendiente,,
content/formacion-docente/diseno-inverso-cocreacion-ia/11-priorizar-intervenciones/index.md,Priorizar intervenciones con evidencia,pagina,1360,baja,lenguaje_directo,,pendiente,,
content/formacion-docente/diseno-inverso-cocreacion-ia/12-evaluacion-mejora-continua/index.md,"Evaluación, retroalimentación y mejora continua",pagina,1634,baja,,,pendiente,,
content/formacion-docente/diseno-inverso-cocreacion-ia/13-autoevaluacion-final/index.md,Autoevaluación final sin calificación,pagina,93,baja,situacion|quien,,pendiente,,
content/formacion-docente/etica-profesional-docente-ia/index.md,La dimensión ética del trabajo docente con IA,pagina,1161,baja,,,pendiente,,
content/formacion-docente/evaluacion-retroalimentacion/index.md,Evaluación y retroalimentación en el aprendizaje activo,pagina,1506,baja,,,cambiar,mezcla-conceptual|generalizacion-de-fuente|fuente-interna-no-verificable,"Se separaron evaluación formativa, sumativa, retroalimentación y evaluación de la docencia; se limitó el estudio CAT a una técnica y muestra situada y se sustituyeron generalizaciones por decisiones observables."
content/formacion-docente/formacion-continua/index.md,Formación continua,pagina,363,baja,lenguaje_directo,,pendiente,,
content/formacion-docente/mapa-literacidades-ia/index.md,Las tres literacidades en IA — mapa visual,pagina,790,baja,lenguaje_directo,,pendiente,,
content/formacion-docente/modelos-samr-icap/index.md,Dos preguntas distintas sobre una misma actividad,pagina,1047,baja,,,cambiar,atribucion-conceptual-inexacta|soporte-bibliografico-incompleto,"Se preservó la comparación de dos lentes y se corrigió la exclusión humana atribuida a ICAP; SAMR recibió soporte bibliográfico crítico y límites explícitos de contexto, jerarquía y producto sobre proceso."
content/formacion-docente/pensamiento-critico-ia-generativa/index.md,Pensamiento crítico ante la IA generativa,pagina,1006,baja,,,pendiente,,
content/formacion-docente/redes/index.md,Redes y comunidades,pagina,409,baja,,,pendiente,,
content/formacion-docente/syllabus-portafolio/index.md,El syllabus y el portafolio de docencia,pagina,825,baja,lenguaje_directo,,pendiente,,
content/formacion-docente/taller-diseno-actividades-ia-backward/index.md,Taller: Diseño de actividades con IA (backward design),pagina,1830,baja,lenguaje_directo,,cambiar,procedencia-no-verificada|materiales-no-entregables|estado-editorial-impreciso,Se conservó el guion de tres sesiones y se declaró como propuesta no aplicada; se retiró la clasificación 4+3 que la fuente enlazada no contenía y se añadieron tres plantillas copiables.
content/formacion-docente/taxonomia-bloom-diseno-inverso/index.md,Partir de lo que quieres observar,pagina,911,baja,lenguaje_directo,,conservar,,"La página cumple una función conceptual distinta del taller: alinea propósito, evidencia, experiencia y ayuda mediante un caso trabajado, límites y preguntas de revisión. Permaneció idéntica byte a byte al rollback aprobado."
content/formacion-docente/transformacion-pedagogica-digital/index.md,La transformación pedagógica y digital en la UdeG,pagina,1120,baja,,,pendiente,,
content/ia-educacion/constelaciones/cocreacion-evaluacion/index.md,Empezar con IA para aprender y enseñar,ruta,1596,baja,,,conservar,,"Cumple el arco de una ruta: situación reconocible, audiencias diferenciadas, punto de partida, acciones, decisiones, evidencia y comprobación. También evita recopilar conversaciones completas y contempla privacidad, equidad de acceso y alternativa sin IA."
content/ia-educacion/etica-y-transparencia/_index.md,Ética y transparencia en el uso de IA,navegacion,479,baja,quien|lenguaje_directo,,pendiente,,
content/ia-educacion/etica-y-transparencia/alfabetizacion-critica-ia/index.md,Principios de la alfabetización crítica en inteligencia artificial,pagina,643,baja,lenguaje_directo,,pendiente,,
content/ia-educacion/etica-y-transparencia/costos-ecologicos-proporcionalidad/index.md,Costos ecológicos de la IA y el criterio de proporcionalidad,pagina,1333,baja,lenguaje_directo,,pendiente,,
content/ia-educacion/etica-y-transparencia/lineamientos-unesco-ia-educacion/index.md,Síntesis de los lineamientos UNESCO para IA en educación,pagina,899,baja,,,pendiente,,
content/ia-educacion/etica-y-transparencia/marco-etico-ia-educacion-superior/index.md,Cuatro criterios éticos para el uso de IA en educación superior,pagina,2064,baja,,,pendiente,,
content/ia-educacion/etica-y-transparencia/marco-regulatorio-universidades-mexico/index.md,Marco regulatorio de IA en universidades mexicanas,pagina,1030,baja,lenguaje_directo,,pendiente,,
content/ia-educacion/etica-y-transparencia/plagio-autenticidad-era-ia/index.md,Plagio y autenticidad académica en la era de la IA,pagina,1569,baja,lenguaje_directo,,cambiar,atribucion-inexistente|generalizacion-de-cifra|instrumentos-universales|debido-proceso-insuficiente,"Se acotaron Eaton, Perkins, Cotton y Liang; los detectores dejan de funcionar como prueba autónoma y las evidencias de proceso pasan a ser opciones proporcionales con privacidad, accesibilidad, carga y debido proceso."
content/ia-educacion/etica-y-transparencia/sesgos-algoritmicos-equidad/index.md,Sesgos algorítmicos y equidad educativa,pagina,1882,baja,,,pendiente,,
content/ia-educacion/etica-y-transparencia/transparencia-algoritmica-aula/index.md,Transparencia algorítmica en el aula: prácticas concretas,pagina,879,baja,,,pendiente,,
content/ia-educacion/guias/_index.md,Guías prácticas de IA,navegacion,203,baja,,,cambiar,navegación_deficiente|descontextualización,"Debe conservarse como índice, pero necesita una entrada por audiencia o necesidad —por ejemplo estudiar, diseñar una actividad, evaluar, comprobar o proteger datos— y una explicación breve de cómo se distinguen sus destinos. La formulación actual descontextualiza la colección y reduce indebidamente su audiencia a la docencia."
content/ia-educacion/guias/abp-con-ia/index.md,Aprendizaje basado en proyectos (ABP) con IA,guia,1231,baja,,,conservar,lenguaje-especializado-menor,"Es una guía metodológica con varios ejemplos completos; contiene actores, materiales, acciones, resultados y comprobaciones. No debe evaluarse como una única actividad cerrada."
content/ia-educacion/guias/agenciamiento-humano-ia/index.md,Conservar la dirección del trabajo con IA,guia,2076,baja,lenguaje_directo,,pendiente,,
content/ia-educacion/guias/aprendizaje-activo-con-ia/index.md,Aprendizaje activo con IA — diseño y ejecución de actividades,guia,1110,baja,,,cambiar,material-inicial-ausente|cierre-incompleto,"El marco es útil, pero las actividades tipo no muestran siempre el caso inicial ni una comprobación final aplicable."
content/ia-educacion/guias/aprendizaje-hibrido-activo-disenar-actividad/index.md,"Aprendizaje híbrido y activo: Diseñar una actividad, paso a paso",guia,8739,baja,lenguaje_directo,,cambiar,entrada-descontextualizada|lenguaje-interno|contenido-delegado-a-componente,"El recurso extenso contiene actividades y patrones completos, pero la entrada no muestra de inmediato quién la usa, con qué llega ni qué ficha termina; el cuerpo debe auditarse mediante guide-body.txt."
content/ia-educacion/guias/aprendizaje-rizomatico-ia/index.md,Aprendizaje rizomático con IA,guia,1031,baja,acciones|lenguaje_directo,,pendiente,,
content/ia-educacion/guias/estudiantes/index.md,Laboratorio guiado para decidir antes de entregar,guia,313,baja,lenguaje_directo,,conservar,material-enlazado-no-previsualizado,"Presenta persona, momento, duración, acciones, resultado y comprobación. Solo conviene añadir una vista previa menor del material enlazado."
content/ia-educacion/guias/evaluacion-formativa-ia/index.md,Evaluación formativa con IA — ciclos de retroalimentación iterativa,guia,2259,baja,,,cambiar,oposicion-formativa-sumativa-falsa|promesa-de-escalamiento|revision-muestral-insuficiente|salvaguardas-ausentes,"Se define lo formativo por el uso de evidencia para ajustar enseñanza o aprendizaje, se admite coexistencia con función sumativa y se delimitan feedback, rúbricas, privacidad, sesgo, dependencia y supervisión humana."
content/ia-educacion/guias/ingenieria-de-prompts-para-docentes/index.md,Ingeniería de prompts para docentes,guia,766,baja,,,cambiar,garantia-exagerada|receta-universal|afirmacion-tecnica-imprecisa,"La guía tenía una función útil, pero prometía resultados de alta calidad, presentaba seis componentes como esenciales y describía pedir razonamiento paso a paso como una obligación. El borrador 02B lo convierte en una lista flexible que parte de una tarea, material y comprobación."
content/ia-educacion/guias/integracion-curricular-ia/index.md,Integración curricular de IA en programas existentes,guia,1276,baja,,,pendiente,,
content/ia-educacion/guias/lineamientos-eticos-ia/index.md,Veinte sugerencias prácticas para el uso ético de IA en educación superior,guia,1876,baja,resultado|lenguaje_directo,,pendiente,,
content/ia-educacion/guias/privacidad-datos-ia/index.md,Antes de compartir: protege datos y trabajos al usar IA,guia,881,baja,,,pendiente,,
content/ia-educacion/guias/profesorado/index.md,Diseñar actividades y observar el aprendizaje,guia,826,baja,,,conservar,borrador-local-pendiente-de-revision,"La ruta preexistente tiene un borrador local completo con caso, material inicial, revisión de doce minutos, ficha final y comprobación por otra persona."
content/ia-educacion/integracion-curricular/_index.md,Integración curricular,navegacion,232,baja,acciones|lenguaje_directo,,pendiente,,
content/ia-educacion/integracion-curricular/ia-aprendizaje-hibrido/index.md,IA en el aprendizaje híbrido y activo,pagina,733,baja,lenguaje_directo,,pendiente,,
content/ia-educacion/investigacion/index.md,Investigar con IA sin perder el rigor,pagina,281,baja,,,pendiente,,
content/ia-educacion/orientaciones/index.md,Propuesta de Orientaciones para el uso pedagógico de la IA,pagina,332,baja,lenguaje_directo,,pendiente,,
content/ia-educacion/practicas/_index.md,Prácticas con IA,navegacion,346,baja,,,pendiente,,
content/ia-educacion/practicas/bitacora-cocreacion/index.md,Bitácora breve para registrar decisiones con IA,practica,472,baja,,,cambiar,material-inicial-ausente|rol-editorial-impreciso,"La tabla, los límites de privacidad y la comprobación son útiles, pero la página no muestra un ejemplo completado y se clasifica como práctica aunque funciona como plantilla. Debe añadir un caso breve o declararse explícitamente plantilla de apoyo."
content/ia-educacion/practicas/declaracion-proporcional-uso/index.md,Declaración proporcional de uso de IA,practica,872,baja,,,pendiente,,
content/ia-educacion/productos-de-aprendizaje/_index.md,Productos de aprendizaje con IAG,navegacion,376,baja,lenguaje_directo,,pendiente,,
content/ia-educacion/productos-de-aprendizaje/analisis-de-casos/index.md,Análisis de casos con IAG,pagina,1451,baja,,,pendiente,,
content/ia-educacion/productos-de-aprendizaje/analisis-de-materiales/index.md,Análisis de materiales con IAG,pagina,697,baja,situacion|lenguaje_directo,,pendiente,,
content/ia-educacion/productos-de-aprendizaje/analisis-economico/index.md,Análisis económico con IAG,pagina,757,baja,lenguaje_directo,,pendiente,,
content/ia-educacion/productos-de-aprendizaje/articulo/index.md,Artículo con IAG,pagina,983,baja,lenguaje_directo,,pendiente,,
content/ia-educacion/productos-de-aprendizaje/automatizacion-industrial/index.md,Automatización industrial con IAG,pagina,697,baja,lenguaje_directo,,pendiente,,
content/ia-educacion/productos-de-aprendizaje/circuitos-electricos/index.md,Circuitos eléctricos con IAG,pagina,687,baja,lenguaje_directo,,pendiente,,
content/ia-educacion/productos-de-aprendizaje/control-y-dinamica/index.md,Control y dinámica con IAG,pagina,671,baja,lenguaje_directo,,pendiente,,
content/ia-educacion/productos-de-aprendizaje/cronica/index.md,Crónica con IAG,pagina,901,baja,situacion,,pendiente,,
content/ia-educacion/productos-de-aprendizaje/diseno-de-sistemas/index.md,Diseño de sistemas con IAG,pagina,674,baja,situacion|lenguaje_directo,,pendiente,,
content/ia-educacion/productos-de-aprendizaje/ensayo/index.md,Ensayo con IA: evaluar el proceso de escritura,pagina,3360,baja,,,pendiente,,
content/ia-educacion/productos-de-aprendizaje/entrevista/index.md,Entrevista con IAG,pagina,828,baja,lenguaje_directo,,pendiente,,
content/ia-educacion/productos-de-aprendizaje/gestion-industrial/index.md,Gestión industrial con IAG,pagina,686,baja,lenguaje_directo,,pendiente,,
content/ia-educacion/productos-de-aprendizaje/integracion-de-sistemas/index.md,Integración de sistemas con IAG,pagina,659,baja,lenguaje_directo,,pendiente,,
content/ia-educacion/productos-de-aprendizaje/investigacion-aplicada/index.md,Investigación aplicada con IAG,pagina,756,baja,lenguaje_directo,,pendiente,,
content/ia-educacion/productos-de-aprendizaje/investigacion-de-campo/index.md,Investigación de campo con IAG,pagina,882,baja,lenguaje_directo,,pendiente,,
content/ia-educacion/productos-de-aprendizaje/mapa-conceptual/index.md,Mapa conceptual con IAG,pagina,2091,baja,,,pendiente,,
content/ia-educacion/productos-de-aprendizaje/metrologia/index.md,Metrología con IAG,pagina,657,baja,lenguaje_directo,,pendiente,,
content/ia-educacion/productos-de-aprendizaje/modelado-matematico/index.md,Modelado matemático con IAG,pagina,785,baja,lenguaje_directo,,pendiente,,
content/ia-educacion/productos-de-aprendizaje/monografia/index.md,Monografía con IAG,pagina,944,baja,lenguaje_directo,,pendiente,,
content/ia-educacion/productos-de-aprendizaje/nota/index.md,Nota con IAG,pagina,774,baja,lenguaje_directo,,pendiente,,
content/ia-educacion/productos-de-aprendizaje/planos-tecnicos/index.md,Planos técnicos con IAG,pagina,755,baja,,,pendiente,,
content/ia-educacion/productos-de-aprendizaje/presentacion/index.md,Presentación con IAG,pagina,2101,baja,,,pendiente,,
content/ia-educacion/productos-de-aprendizaje/programacion/index.md,Programación con IAG,pagina,873,baja,,,pendiente,,
content/ia-educacion/productos-de-aprendizaje/prototipo/index.md,Prototipo con IAG,pagina,779,baja,lenguaje_directo,,pendiente,,
content/ia-educacion/productos-de-aprendizaje/proyecto/index.md,Proyecto con IAG,pagina,2143,baja,,,pendiente,,
content/ia-educacion/productos-de-aprendizaje/reporte-tecnico/index.md,Reporte técnico con IAG,pagina,812,baja,situacion|lenguaje_directo,,pendiente,,
content/ia-educacion/productos-de-aprendizaje/resena/index.md,Reseña con IAG,pagina,821,baja,lenguaje_directo,,pendiente,,
content/ia-educacion/que-es-la-educacion-digital/index.md,¿Qué es la educación digital?,pagina,2116,baja,,,pendiente,,
content/ia-educacion/rutas/_index.md,Rutas por responsabilidad,navegacion,227,baja,,,cambiar,duplicación|navegación_deficiente,"No conviene quitarlo porque puede cumplir una función comparativa y agrupa las rutas hijas, pero actualmente duplica el selector de la página superior y no entrega la comparación prometida. Debe añadir diferencias de audiencia, decisión, alcance, punto de entrada y resultado esperado."
content/ia-educacion/rutas/coordinacion-academica/index.md,Coordinar la IA en los procesos docentes,ruta,1602,baja,lenguaje_directo,,conservar,,"La ruta ya se declara prototipo-escenario, presenta un ejemplo hipotético y ofrece responsables, calendario, materiales, productos y criterios para decidir la continuidad de un piloto; no atribuye resultados observados."
content/ia-educacion/rutas/decision-institucional-ia/index.md,Decidir institucionalmente sobre IA en la docencia,ruta,2450,baja,lenguaje_directo,,pendiente,,
content/ia-educacion/tendencias/_index.md,Tendencias y políticas,navegacion,211,baja,acciones|lenguaje_directo,,pendiente,,
content/ia-educacion/tendencias/evaluacion-en-la-era-ia/index.md,"Regar las plantas, no solo construir cercas: repensar la evaluación en la era de la IA",pagina,930,baja,,,cambiar,atribucion_de_afirmaciones|afirmaciones_absolutas|sustento_insuficiente|salvaguardas_de_uso,"La pieza tiene fecha, procedencia y utilidad claras, por lo que no debe quitarse. Debe cambiarse para separar con mayor precisión las tesis de Liardi/Pearson de la síntesis editorial local, moderar afirmaciones absolutas y acompañar las recomendaciones de uso de IA con condiciones de validez, privacidad, acceso y revisión humana."
content/ia-educacion/tendencias/ia-tutorias-mentoria/index.md,IA en tutorías y mentoría estudiantil,pagina,1186,baja,lenguaje_directo,,cambiar,generalizacion-de-estudio|fecha-incorrecta|cifras-no-documentadas|transferencia-no-demostrada,"Se corrigió la fecha de Brookings, se acotó el ensayo a dos lecciones y un tutor con andamiaje experto, se retiraron cifras y comparaciones sin procedencia y se presentaron los riesgos como decisiones de diseño, no efectos inevitables."
content/ia-educacion/tendencias/personalizacion-aprendizaje/index.md,IA generativa y personalización del aprendizaje,pagina,937,baja,lenguaje_directo,,pendiente,,
content/ia-educacion/tendencias/politicas-institucionales-universidades/index.md,Políticas institucionales de IA en universidades,pagina,1150,baja,lenguaje_directo,,pendiente,,
content/laboratorio/_index.md,Laboratorio de innovación docente,navegacion,145,baja,,,cambiar,promesa_editorial_inexacta|audiencia_no_explicita|utilidad_decisional_no_explicita|fronteras_de_seccion,"La arquitectura de tres rutas es útil y debe conservarse, pero la promesa de que toda entrada es una experiencia real contradice la inclusión de estrategias y materiales de diseño. Conviene definir explícitamente quién entra al Laboratorio y qué decisión resuelve cada ruta: adoptar una práctica, aprender de una implementación real o diseñar un flujo de integración."
content/laboratorio/h5p-runtime/index.md,Laboratorio técnico del runtime H5P,pagina,214,baja,quien,,pendiente,,
content/laboratorio/integracion-ia/_index.md,Integración de IA en los aprendizajes,navegacion,197,baja,,,pendiente,,
content/laboratorio/integracion-ia/flujos-trabajo-docente-ia/index.md,Flujos de trabajo docente con IA,pagina,1109,baja,,,pendiente,,
content/laboratorio/practicas/_index.md,Prácticas pedagógicas,navegacion,360,baja,,,cambiar,estado_de_validacion_ambiguo|promesa_editorial_inexacta|frontera_con_experiencias|utilidad_decisional_no_explicita,"Es un índice necesario, pero presenta toda la colección como evidencia de implementaciones reales. Al menos una de las prácticas auditadas funciona como diseño replicable y no reporta ejecución ni resultados. Debe distinguir entre práctica propuesta, práctica pilotada y práctica documentada, e indicar que la ruta sirve para seleccionar o adaptar una actividad, no para consultar relatos de implementación."
content/laboratorio/practicas/aula-invertida/index.md,Aula invertida (flipped classroom),practica,940,baja,,,cambiar,rol-editorial-incorrecto|material-inicial-ausente|comprobacion-ausente,"La explicación es recuperable, pero funciona como guía metodológica, no como práctica completa. Debe cambiar de rol y ubicación conservando alias."
