lot,priority_score,path,route,title,kind,section,words,course_role,course_action,modules,audience_routes,narrative_status,narrative_signals,didactic_status,didactic_signals,consistency_band,review_flags,orientation_relations,explicit_orientation_reference,explicit_guide_reference,visual_status,visual_decision,visual_family,featured,svg_assets,accessible_svg,inline_images,missing_alt,current_h5p,interaction_candidate,interaction_technology,internal_links,cross_section_links,organization_needs
L1-nucleo-riesgos-y-solapamientos,9,formacion-docente/taller-diseno-actividades-ia-backward/index.md,/formacion-docente/taller-diseno-actividades-ia-backward/,Taller: Diseño de actividades con IA (backward design),page,formacion-docente,1268,nucleo-candidato,reutilizar-con-ajustes,M5,profesorado,parcial,3,robusto-candidato,7,revision-dirigida,autoria-o-responsabilidad-de-la-ia-por-revisar,agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,solo-imagen-de-portada,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,8,6,vincular-orientaciones|vincular-guia-por-audiencia
L1-nucleo-riesgos-y-solapamientos,9,ia-educacion/guias/agenciamiento-humano-ia/index.md,/ia-educacion/guias/agenciamiento-humano-ia/,El agenciamiento (ensamblaje) persona-IA — marco conceptual para docentes,page,ia-educacion,1730,nucleo-candidato,reescribir-antes-de-enlazar,M3,comun,parcial,4,parcial,6,revision-prioritaria,,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,figura-gobernada,revisar-para-sustitucion-prioritaria,cgi-infografia-o-ilustracion-heredada,true,2,2,0,0,direccion-epistemica-decidir-reformular|cocreacion-conceptos-cards,auditar-y-mediar-h5p-existente,H5P ya gobernado,6,0,conectar-entre-secciones|vincular-orientaciones|vincular-guia-por-audiencia
L1-nucleo-riesgos-y-solapamientos,9,recursos/glosario/aprendizaje-activo/index.md,/recursos/glosario/aprendizaje-activo/,Aprendizaje activo,page,recursos,112,referencia-opcional,fusionar-o-desduplicar,M5,profesorado,debil,1,debil,2,revision-prioritaria,,aprendizaje-y-evaluacion-del-proceso|diseno-activo-hibrido,false,false,solo-imagen-de-portada,sustituir-por-sistema-de-iconos-o-retirar,neon-tecnologico-generico,true,0,0,0,0,,sin-interaccion-obligatoria,Ninguna,1,1,agregar-description|vincular-orientaciones|vincular-guia-por-audiencia
L1-nucleo-riesgos-y-solapamientos,9,recursos/glosario/aprendizaje-hibrido/index.md,/recursos/glosario/aprendizaje-hibrido/,Aprendizaje híbrido,page,recursos,100,referencia-opcional,fusionar-o-desduplicar,M5,profesorado,debil,1,debil,2,revision-prioritaria,,aprendizaje-y-evaluacion-del-proceso|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,solo-imagen-de-portada,sustituir-por-sistema-de-iconos-o-retirar,neon-tecnologico-generico,true,0,0,0,0,,sin-interaccion-obligatoria,Ninguna,3,1,agregar-description|vincular-orientaciones|vincular-guia-por-audiencia
L1-nucleo-riesgos-y-solapamientos,6,ia-educacion/constelaciones/cocreacion-evaluacion/index.md,/ia-educacion/constelaciones/empezar-con-ia/,Empezar con IA para aprender y enseñar,page,ia-educacion,1013,nucleo-candidato,reutilizar-con-ajustes,M3,comun,parcial,3,robusto-candidato,7,sin-alerta-automatica,,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,visual-explicativo-candidato,conservar-como-referencia,editorial-situada-o-conceptual-especifica,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,7,4,vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,10,formacion-docente/alfabetizacion-operativa/index.md,/formacion-docente/alfabetizacion-operativa/,Principios de la alfabetización operativa en inteligencia artificial,page,formacion-docente,503,apoyo-candidato,revisar-en-fase-editorial,M5,profesorado,debil,1,parcial,5,revision-dirigida,deteccion-de-ia-requiere-mediacion,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,solo-imagen-de-portada,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,5,2,vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,10,formacion-docente/competencias-digitales-ia-estudiantes/index.md,/formacion-docente/competencias-digitales-ia-estudiantes/,Competencias digitales con IA para estudiantes,page,formacion-docente,929,apoyo-candidato,revisar-en-fase-editorial,M5,profesorado,debil,1,parcial,5,revision-dirigida,autoria-o-responsabilidad-de-la-ia-por-revisar,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados,false,false,solo-imagen-de-portada,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,9,7,vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,10,ia-educacion/etica-y-transparencia/lineamientos-unesco-ia-educacion/index.md,/ia-educacion/etica-y-transparencia/lineamientos-unesco-ia-educacion/,Síntesis de los lineamientos UNESCO para IA en educación,page,ia-educacion,864,apoyo-candidato,revisar-en-fase-editorial,M2|M4,comun,debil,0,parcial,4,revision-dirigida,bloom-como-jerarquia-o-secuencia,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|decision-institucional-y-tecnologia,false,false,solo-imagen-de-portada,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,6,3,vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,9,formacion-docente/alfabetizacion/index.md,/formacion-docente/alfabetizacion/,Alfabetización digital,page,formacion-docente,1151,apoyo-candidato,revisar-en-fase-editorial,M5,profesorado,debil,0,parcial,5,revision-dirigida,deteccion-de-ia-requiere-mediacion,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido,false,false,visual-explicativo-candidato,revisar-para-sustitucion-prioritaria,cgi-infografia-o-ilustracion-heredada,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,14,7,vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,9,formacion-docente/mapa-literacidades-ia/index.md,/formacion-docente/mapa-literacidades-ia/,Las tres literacidades en IA — mapa visual,page,formacion-docente,811,apoyo-candidato,revisar-en-fase-editorial,M5,profesorado,debil,1,parcial,5,revision-dirigida,deteccion-de-ia-requiere-mediacion,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido,false,false,visual-explicativo-candidato,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,7,3,vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,8,formacion-docente/formacion-continua/index.md,/formacion-docente/formacion-continua/,Formación continua,page,formacion-docente,359,apoyo-candidato,revisar-en-fase-editorial,M5,profesorado,debil,1,parcial,4,sin-alerta-automatica,,agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|decision-institucional-y-tecnologia,false,false,solo-imagen-de-portada,revisar-para-sustitucion-prioritaria,cgi-infografia-o-ilustracion-heredada,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,3,2,vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,8,ia-educacion/etica-y-transparencia/marco-regulatorio-universidades-mexico/index.md,/ia-educacion/etica-y-transparencia/marco-regulatorio-universidades-mexico/,Marco regulatorio de IA en universidades mexicanas,page,ia-educacion,1001,apoyo-candidato,revisar-en-fase-editorial,M2|M4,comun,parcial,2,parcial,5,revision-dirigida,autoria-o-responsabilidad-de-la-ia-por-revisar,agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|decision-institucional-y-tecnologia,false,false,solo-imagen-de-portada,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,5,2,vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,8,ia-educacion/guias/integracion-curricular-ia/index.md,/ia-educacion/guias/integracion-curricular-ia/,Integración curricular de IA en programas existentes,page,ia-educacion,1270,apoyo-candidato,reutilizar-con-ajustes,M5,profesorado,parcial,2,parcial,5,revision-dirigida,autoria-o-responsabilidad-de-la-ia-por-revisar,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|decision-institucional-y-tecnologia,false,false,solo-imagen-de-portada,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,9,4,vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,8,recursos/glosario/evaluacion-autentica/index.md,/recursos/glosario/evaluacion-autentica/,Evaluación auténtica,page,recursos,109,apoyo-candidato,reutilizar-con-ajustes,M5|M6,estudiantado|profesorado,debil,1,parcial,5,sin-alerta-automatica,,aprendizaje-y-evaluacion-del-proceso,false,false,solo-imagen-de-portada,sustituir-por-sistema-de-iconos-o-retirar,neon-tecnologico-generico,true,0,0,0,0,,sin-interaccion-obligatoria,Ninguna,1,1,agregar-description|vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,7,formacion-docente/evaluacion-retroalimentacion/index.md,/formacion-docente/evaluacion-retroalimentacion/,Evaluación y retroalimentación en el aprendizaje activo,page,formacion-docente,728,apoyo-candidato,reutilizar-con-ajustes,M5|M6,profesorado,debil,1,parcial,6,sin-alerta-automatica,,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido,false,false,solo-imagen-de-portada,revisar-para-sustitucion-prioritaria,cgi-infografia-o-ilustracion-heredada,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,0,0,crear-enlaces-de-continuidad|conectar-entre-secciones|vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,7,formacion-docente/transformacion-pedagogica-digital/index.md,/formacion-docente/transformacion-pedagogica-digital/,La transformación pedagógica y digital en la UdeG,page,formacion-docente,1008,apoyo-candidato,revisar-en-fase-editorial,M5,profesorado,parcial,3,parcial,3,revision-dirigida,correspondencia-samr-bloom-por-revisar,aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,visual-explicativo-candidato,revisar-para-sustitucion-prioritaria,cgi-infografia-o-ilustracion-heredada,true,0,0,2,0,,comparador-de-versiones,H5P.ImageSlider o comparador HTML,7,1,vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,7,laboratorio/practicas/analisis-critico-de-sesgos-en-ia/index.md,/laboratorio/practicas/analisis-critico-de-sesgos-en-ia/,Análisis crítico de sesgos en la IA,page,laboratorio,389,banco-de-practicas,revisar-contra-bloom-e-icap,M5|M6,profesorado,debil,1,parcial,5,sin-alerta-automatica,,agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido,false,false,solo-imagen-de-portada,revisar-para-sustitucion-prioritaria,cgi-infografia-o-ilustracion-heredada,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,0,0,crear-enlaces-de-continuidad|conectar-entre-secciones|vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,6,formacion-docente/redes/index.md,/formacion-docente/redes/,Redes y comunidades,page,formacion-docente,378,apoyo-candidato,revisar-en-fase-editorial,M5,profesorado,parcial,2,parcial,5,sin-alerta-automatica,,agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,solo-imagen-de-portada,revisar-para-sustitucion-prioritaria,cgi-infografia-o-ilustracion-heredada,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,2,1,vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,6,formacion-docente/syllabus-portafolio/index.md,/formacion-docente/syllabus-portafolio/,El syllabus y el portafolio de docencia,page,formacion-docente,897,apoyo-candidato,reutilizar-con-ajustes,M6,profesorado,debil,1,parcial,6,sin-alerta-automatica,,agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,visual-explicativo-candidato,revisar-para-sustitucion-prioritaria,cgi-infografia-o-ilustracion-heredada,true,0,0,1,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,0,0,crear-enlaces-de-continuidad|conectar-entre-secciones|vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,6,ia-educacion/etica-y-transparencia/marco-etico-ia-educacion-superior/index.md,/ia-educacion/etica-y-transparencia/marco-etico-ia-educacion-superior/,Cuatro criterios éticos para el uso de IA en educación superior,page,ia-educacion,2089,apoyo-candidato,reutilizar-con-ajustes,M2,comun,parcial,3,robusto-candidato,7,revision-dirigida,autoria-o-responsabilidad-de-la-ia-por-revisar,agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,visual-explicativo-candidato,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,0,0,crear-enlaces-de-continuidad|conectar-entre-secciones|vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,6,ia-educacion/guias/aprendizaje-activo-con-ia/index.md,/ia-educacion/guias/aprendizaje-activo-con-ia/,Aprendizaje activo con IA — diseño y ejecución de actividades,page,ia-educacion,1192,banco-de-practicas,revisar-contra-bloom-e-icap,M5,profesorado,parcial,3,robusto-candidato,7,revision-dirigida,bloom-como-jerarquia-o-secuencia,agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido,false,false,figura-gobernada,revisar-para-sustitucion-prioritaria,cgi-infografia-o-ilustracion-heredada,true,2,2,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,5,3,vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,6,laboratorio/practicas/aprendizaje-activo-ia/index.md,/laboratorio/practicas/aprendizaje-activo-ia/,Aprendizaje activo con IA — actividades diseñadas y ejecutadas con IA,page,laboratorio,961,banco-de-practicas,revisar-contra-bloom-e-icap,M5|M6,profesorado,parcial,2,parcial,6,revision-dirigida,bloom-como-jerarquia-o-secuencia,agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido,false,false,solo-imagen-de-portada,revisar-para-sustitucion-prioritaria,cgi-infografia-o-ilustracion-heredada,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,4,4,vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,6,laboratorio/practicas/debate-socratico-con-ia/index.md,/laboratorio/practicas/debate-socratico-con-ia/,Debate socrático con IA como interlocutor,page,laboratorio,470,banco-de-practicas,revisar-contra-bloom-e-icap,M5|M6,profesorado,debil,1,robusto-candidato,7,sin-alerta-automatica,,agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido,false,false,solo-imagen-de-portada,revisar-para-sustitucion-prioritaria,cgi-infografia-o-ilustracion-heredada,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,0,0,crear-enlaces-de-continuidad|conectar-entre-secciones|vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,6,recursos/articulos/selwyn-limites-ia-educacion/index.md,/recursos/articulos/selwyn-limites-ia-educacion/,On the limits of artificial intelligence (AI) in education — Selwyn,page,recursos,363,apoyo-candidato,reutilizar-con-ajustes,M4,comun,parcial,2,parcial,3,sin-alerta-automatica,,agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|decision-institucional-y-tecnologia,false,false,solo-imagen-de-portada,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,,comparador-de-versiones,H5P.ImageSlider o comparador HTML,3,3,vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,5,ia-educacion/etica-y-transparencia/plagio-autenticidad-era-ia/index.md,/ia-educacion/etica-y-transparencia/plagio-autenticidad-era-ia/,Plagio y autenticidad académica en la era de la IA,page,ia-educacion,1763,apoyo-candidato,reutilizar-con-ajustes,M2|M4,comun,robusto-candidato,5,parcial,6,revision-dirigida,deteccion-de-ia-requiere-mediacion|autoria-o-responsabilidad-de-la-ia-por-revisar,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|decision-institucional-y-tecnologia,false,false,visual-explicativo-candidato,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,0,0,crear-enlaces-de-continuidad|conectar-entre-secciones|vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,5,ia-educacion/etica-y-transparencia/sesgos-algoritmicos-equidad/index.md,/ia-educacion/etica-y-transparencia/sesgos-algoritmicos-equidad/,Sesgos algorítmicos y equidad educativa,page,ia-educacion,1912,apoyo-candidato,reutilizar-con-ajustes,M2,comun,parcial,4,robusto-candidato,7,revision-dirigida,deteccion-de-ia-requiere-mediacion|autoria-o-responsabilidad-de-la-ia-por-revisar,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,visual-explicativo-candidato,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,0,0,crear-enlaces-de-continuidad|conectar-entre-secciones|vincular-orientaciones|vincular-guia-por-audiencia
