lot,priority_score,path,route,title,kind,section,words,course_role,course_action,modules,audience_routes,narrative_status,narrative_signals,didactic_status,didactic_signals,consistency_band,review_flags,orientation_relations,explicit_orientation_reference,explicit_guide_reference,visual_status,visual_decision,visual_family,featured,svg_assets,accessible_svg,inline_images,missing_alt,current_h5p,interaction_candidate,interaction_technology,internal_links,cross_section_links,organization_needs
L1-nucleo-riesgos-y-solapamientos,8,formacion-docente/alfabetizacion-agenciamiento-ia/index.md,/formacion-docente/alfabetizacion-agenciamiento-ia/,Alfabetización en co-creación: aprender a co-producir con IA,page,formacion-docente,2283,apoyo-candidato,fusionar-o-desduplicar,M3,comun,parcial,4,robusto-candidato,7,revision-prioritaria,bloom-como-jerarquia-o-secuencia|deteccion-de-ia-requiere-mediacion,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,visual-explicativo-candidato,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,cocreacion-evaluacion-recorrido,auditar-y-mediar-h5p-existente,H5P ya gobernado,11,7,vincular-orientaciones|vincular-guia-por-audiencia
L1-nucleo-riesgos-y-solapamientos,8,formacion-docente/taller-diseno-actividades-ia-backward/index.md,/formacion-docente/taller-diseno-actividades-ia-backward/,Taller: Diseño de actividades con IA (backward design),page,formacion-docente,2185,nucleo-candidato,reutilizar-con-ajustes,M5,profesorado,robusto-candidato,5,robusto-candidato,9,revision-dirigida,deteccion-de-ia-requiere-mediacion|autoria-o-responsabilidad-de-la-ia-por-revisar,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,solo-imagen-de-portada,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,8,5,vincular-orientaciones|vincular-guia-por-audiencia
L1-nucleo-riesgos-y-solapamientos,8,ia-educacion/guias/privacidad-datos-ia/index.md,/ia-educacion/guias/privacidad-datos-ia/,Antes de compartir: protege datos y trabajos al usar IA,page,ia-educacion,1090,nucleo-candidato,reutilizar-con-ajustes,,comun,parcial,4,robusto-candidato,7,revision-dirigida,autoria-o-responsabilidad-de-la-ia-por-revisar,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|decision-institucional-y-tecnologia,false,false,solo-imagen-de-portada,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,2,1,vincular-orientaciones|vincular-guia-por-audiencia
L1-nucleo-riesgos-y-solapamientos,8,ia-educacion/orientaciones/index.md,/ia-educacion/orientaciones/,Propuesta de Orientaciones para el uso pedagógico de la IA,page,ia-educacion,346,referencia-en-cuarentena,conservar-como-profundizacion,,comun,parcial,2,parcial,6,revision-prioritaria,autoria-o-responsabilidad-de-la-ia-por-revisar,agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,sin-visual,evaluar-si-necesita-portada,sin-featured-local,false,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,4,0,vincular-orientaciones|vincular-guia-por-audiencia
L1-nucleo-riesgos-y-solapamientos,7,formacion-docente/pensamiento-critico-ia-generativa/index.md,/formacion-docente/pensamiento-critico-ia-generativa/,Pensamiento crítico ante la IA generativa,page,formacion-docente,1092,nucleo-candidato,reutilizar-con-ajustes,M1,comun,parcial,3,robusto-candidato,7,sin-alerta-automatica,,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido,false,false,solo-imagen-de-portada,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,5,5,vincular-orientaciones|vincular-guia-por-audiencia
L1-nucleo-riesgos-y-solapamientos,7,ia-educacion/constelaciones/cocreacion-evaluacion/index.md,/ia-educacion/constelaciones/empezar-con-ia/,Empezar con IA para aprender y enseñar,page,ia-educacion,1620,nucleo-candidato,reutilizar-con-ajustes,M3,comun,parcial,4,robusto-candidato,7,revision-dirigida,autoria-o-responsabilidad-de-la-ia-por-revisar,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,figura-gobernada,conservar-como-referencia,editorial-situada-o-conceptual-especifica,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,5,1,vincular-orientaciones|vincular-guia-por-audiencia
L1-nucleo-riesgos-y-solapamientos,6,recursos/glosario/aprendizaje-activo/index.md,/recursos/glosario/aprendizaje-activo/,Aprendizaje activo,page,recursos,180,referencia-opcional,fusionar-o-desduplicar,M5,profesorado,debil,1,parcial,6,revision-prioritaria,,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|diseno-activo-hibrido,false,false,solo-imagen-de-portada,sustituir-por-sistema-de-iconos-o-retirar,neon-tecnologico-generico,true,0,0,0,0,,sin-interaccion-obligatoria,Ninguna,0,0,crear-enlaces-de-continuidad|vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,10,formacion-docente/diseno-inverso-cocreacion-ia/13-autoevaluacion-final/index.md,/formacion-docente/diseno-inverso-cocreacion-ia/13-autoevaluacion-final/,Autoevaluación final sin calificación,page,formacion-docente,229,apoyo-candidato,revisar-en-fase-editorial,,profesorado,debil,1,debil,1,sin-alerta-automatica,,verificacion-y-fuentes|aprendizaje-y-evaluacion-del-proceso,false,false,solo-imagen-de-portada,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,curso-l13-h5p-01|curso-l13-h5p-02|curso-l13-h5p-03|curso-l13-h5p-04|curso-l13-h5p-05|curso-l13-h5p-06|curso-l13-h5p-07|curso-l13-h5p-08|curso-l13-h5p-09|curso-l13-h5p-10|curso-l13-h5p-11|curso-l13-h5p-14|curso-l13-h5p-15|curso-l13-h5p-16|curso-l13-h5p-17|curso-l13-h5p-18|curso-l13-h5p-19|curso-l13-h5p-25,auditar-y-mediar-h5p-existente,H5P ya gobernado,0,0,crear-enlaces-de-continuidad|conectar-entre-secciones|vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,10,ia-educacion/etica-y-transparencia/lineamientos-unesco-ia-educacion/index.md,/ia-educacion/etica-y-transparencia/lineamientos-unesco-ia-educacion/,Síntesis de los lineamientos UNESCO para IA en educación,page,ia-educacion,898,apoyo-candidato,revisar-en-fase-editorial,M2|M4,comun,debil,0,parcial,5,revision-dirigida,bloom-como-jerarquia-o-secuencia,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|decision-institucional-y-tecnologia,false,false,solo-imagen-de-portada,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,6,3,vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,9,actividades/comparar-sugerencias/index.md,/actividades/comparar-sugerencias/,Decide qué hacer con dos cambios que te proponen a tu texto,page,actividades,2,banco-de-practicas,reutilizar-con-ajustes,,estudiantado,debil,0,debil,1,sin-alerta-automatica,,diseno-activo-hibrido,false,false,solo-imagen-de-portada,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,,hoja-de-trabajo-guiada,HTML/Markdown descargable; H5P solo si no recopila datos,0,0,crear-enlaces-de-continuidad|conectar-entre-secciones|vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,9,actividades/revisar-actividad/index.md,/actividades/revisar-actividad/,"Revisa una actividad tuya en tres frases: lo que pides, lo que practican, lo que entregan",page,actividades,81,banco-de-practicas,reutilizar-con-ajustes,,profesorado,debil,0,debil,2,sin-alerta-automatica,,verificacion-y-fuentes|agenciamiento-y-cocreacion|diseno-activo-hibrido,false,false,figura-gobernada,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,,comparador-de-versiones,H5P.ImageSlider o comparador HTML,0,0,crear-enlaces-de-continuidad|conectar-entre-secciones|vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,8,formacion-docente/diseno-inverso-cocreacion-ia/03-literacidades-ia/index.md,/formacion-docente/diseno-inverso-cocreacion-ia/03-literacidades-ia/,Literacidades para el uso de IA,page,formacion-docente,1552,apoyo-candidato,revisar-en-fase-editorial,,profesorado,parcial,2,parcial,5,revision-dirigida,autoria-o-responsabilidad-de-la-ia-por-revisar,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,solo-imagen-de-portada,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,curso-l03-h5p-02,auditar-y-mediar-h5p-existente,H5P ya gobernado,0,0,crear-enlaces-de-continuidad|conectar-entre-secciones|vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,8,ia-educacion/etica-y-transparencia/marco-regulatorio-universidades-mexico/index.md,/ia-educacion/etica-y-transparencia/marco-regulatorio-universidades-mexico/,Marco regulatorio de IA en universidades mexicanas,page,ia-educacion,1036,apoyo-candidato,revisar-en-fase-editorial,M2|M4,comun,parcial,2,parcial,5,revision-dirigida,autoria-o-responsabilidad-de-la-ia-por-revisar,agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|decision-institucional-y-tecnologia,false,false,solo-imagen-de-portada,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,5,2,vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,7,formacion-docente/diseno-inverso-cocreacion-ia/09-analisis-casos/index.md,/formacion-docente/diseno-inverso-cocreacion-ia/09-analisis-casos/,Análisis de casos,page,formacion-docente,1754,apoyo-candidato,revisar-en-fase-editorial,,profesorado,parcial,3,robusto-candidato,7,revision-dirigida,deteccion-de-ia-requiere-mediacion,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,solo-imagen-de-portada,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,curso-l09-h5p-02,auditar-y-mediar-h5p-existente,H5P ya gobernado,0,0,crear-enlaces-de-continuidad|conectar-entre-secciones|vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,7,formacion-docente/diseno-inverso-cocreacion-ia/12-evaluacion-mejora-continua/index.md,/formacion-docente/diseno-inverso-cocreacion-ia/12-evaluacion-mejora-continua/,"Evaluación, retroalimentación y mejora continua",page,formacion-docente,1710,apoyo-candidato,revisar-en-fase-editorial,,profesorado,parcial,3,robusto-candidato,8,revision-dirigida,bloom-como-jerarquia-o-secuencia|deteccion-de-ia-requiere-mediacion|autoria-o-responsabilidad-de-la-ia-por-revisar,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,solo-imagen-de-portada,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,curso-l12-h5p-02,auditar-y-mediar-h5p-existente,H5P ya gobernado,0,0,crear-enlaces-de-continuidad|conectar-entre-secciones|vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,7,formacion-docente/mapa-literacidades-ia/index.md,/formacion-docente/mapa-literacidades-ia/,Las tres literacidades en IA — mapa visual,page,formacion-docente,946,apoyo-candidato,revisar-en-fase-editorial,M5,profesorado,parcial,3,parcial,5,revision-dirigida,interactividad-con-chat-por-justificar|deteccion-de-ia-requiere-mediacion,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido,false,false,visual-explicativo-candidato,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,8,3,vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,7,ia-educacion/guias/ingenieria-de-prompts-para-docentes/index.md,/ia-educacion/guias/ingenieria-de-prompts-para-docentes/,"Escribe una petición a la IA que puedas revisar: tarea, material y límites",page,ia-educacion,938,apoyo-candidato,revisar-en-fase-editorial,M3|M4|M5|M6,estudiantado|profesorado,parcial,3,robusto-candidato,9,revision-dirigida,deteccion-de-ia-requiere-mediacion,verificacion-y-fuentes|agenciamiento-y-cocreacion|etica-contexto-y-cuidados|diseno-activo-hibrido,false,false,solo-imagen-de-portada,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,1,0,conectar-entre-secciones|vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,7,recursos/glosario/evaluacion-autentica/index.md,/recursos/glosario/evaluacion-autentica/,Evaluación auténtica,page,recursos,275,apoyo-candidato,reutilizar-con-ajustes,M5|M6,estudiantado|profesorado,debil,1,robusto-candidato,7,sin-alerta-automatica,,agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido,false,false,solo-imagen-de-portada,sustituir-por-sistema-de-iconos-o-retirar,neon-tecnologico-generico,true,0,0,0,0,,sin-interaccion-obligatoria,Ninguna,0,0,crear-enlaces-de-continuidad|conectar-entre-secciones|vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,6,formacion-docente/alfabetizacion-operativa/index.md,/formacion-docente/alfabetizacion-operativa/,Principios de la alfabetización operativa en inteligencia artificial,page,formacion-docente,669,apoyo-candidato,revisar-en-fase-editorial,M5,profesorado,robusto-candidato,5,parcial,6,revision-dirigida,deteccion-de-ia-requiere-mediacion,verificacion-y-fuentes|agenciamiento-y-cocreacion|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,solo-imagen-de-portada,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,,comparador-de-versiones,H5P.ImageSlider o comparador HTML,5,2,vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,6,formacion-docente/alfabetizacion/index.md,/formacion-docente/alfabetizacion/,Alfabetización digital,page,formacion-docente,1367,apoyo-candidato,revisar-en-fase-editorial,M5,profesorado,parcial,3,parcial,6,revision-dirigida,deteccion-de-ia-requiere-mediacion,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido,false,false,visual-explicativo-candidato,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,14,7,vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,6,formacion-docente/competencias-digitales-ia-estudiantes/index.md,/formacion-docente/competencias-digitales-ia-estudiantes/,Competencias digitales con IA para estudiantes,page,formacion-docente,1119,apoyo-candidato,revisar-en-fase-editorial,M5,profesorado,parcial,4,robusto-candidato,8,revision-dirigida,autoria-o-responsabilidad-de-la-ia-por-revisar,verificacion-y-fuentes|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados,false,false,solo-imagen-de-portada,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,9,7,vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,6,formacion-docente/diseno-inverso-cocreacion-ia/01-panorama-activo-hibrido/index.md,/formacion-docente/diseno-inverso-cocreacion-ia/01-panorama-activo-hibrido/,Panorama del aprendizaje activo e híbrido,page,formacion-docente,1100,apoyo-candidato,revisar-en-fase-editorial,,profesorado,parcial,2,parcial,6,revision-dirigida,interactividad-con-chat-por-justificar,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,visual-explicativo-candidato,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,2,2,0,0,curso-l01-h5p-02,auditar-y-mediar-h5p-existente,H5P ya gobernado,0,0,crear-enlaces-de-continuidad|conectar-entre-secciones|vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,6,formacion-docente/diseno-inverso-cocreacion-ia/04-cocreacion-persona-ia/index.md,/formacion-docente/diseno-inverso-cocreacion-ia/04-cocreacion-persona-ia/,Cocreación persona–IA en el diseño docente,page,formacion-docente,1464,apoyo-candidato,revisar-en-fase-editorial,,profesorado,parcial,4,parcial,6,revision-dirigida,autoria-o-responsabilidad-de-la-ia-por-revisar,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,solo-imagen-de-portada,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,curso-l04-h5p-02,auditar-y-mediar-h5p-existente,H5P ya gobernado,0,0,crear-enlaces-de-continuidad|conectar-entre-secciones|vincular-orientaciones|vincular-guia-por-audiencia
L2-apoyos-y-practicas,6,formacion-docente/diseno-inverso-cocreacion-ia/05-contexto-diagnostico/index.md,/formacion-docente/diseno-inverso-cocreacion-ia/05-contexto-diagnostico/,Delimitación del contexto y diagnóstico inicial,page,formacion-docente,1792,apoyo-candidato,revisar-en-fase-editorial,,profesorado,parcial,4,robusto-candidato,7,revision-dirigida,deteccion-de-ia-requiere-mediacion,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,solo-imagen-de-portada,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,curso-l05-h5p-02,auditar-y-mediar-h5p-existente,H5P ya gobernado,0,0,crear-enlaces-de-continuidad|conectar-entre-secciones|vincular-orientaciones|vincular-guia-por-audiencia
