path,route,kind,section,title,date,words,heading_count,external_url_count,citation_signals,reference_heading,internal_link_count,broken_internal_links,featured,local_asset_count,inline_image_count,svg_count,table_count,mermaid_count,chart_count,h5p_count,iframe_count,decision,needs,tags,categories,areas
blog/asimetria-de-la-transparencia/index.md,/blog/asimetria-de-la-transparencia/,page,blog,La asimetría de la transparencia,2026-08-31,884,1,3,0,true,3,,true,1,0,1,0,0,0,0,0,conservar,tabla-sintesis,transparencia|declaración de uso|integridad académica|cultura institucional,opinion,ia|etica
blog/ia-generativa-evaluacion-autentica/index.md,/blog/ia-generativa-evaluacion-autentica/,page,blog,IA generativa y evaluación auténtica,2026-04-26,992,11,3,0,true,4,,true,1,0,0,0,0,0,0,0,conservar,svg-diagrama|tabla-sintesis|interaccion-candidata,evaluación auténtica|evaluación formativa|IA generativa|rediseño evaluativo,opinion,evaluacion|ia|pedagogia
blog/rizoma-digital-aprender-sin-mapa/index.md,/blog/rizoma-digital-aprender-sin-mapa/,page,blog,El rizoma digital: aprender sin mapa,2026-04-26,943,7,0,0,true,3,,true,1,0,0,0,0,0,0,0,conservar,svg-diagrama|tabla-sintesis|interaccion-candidata,rizoma|Deleuze|Cormier|aprendizaje no lineal|currículo,opinion,pedagogia|ia|digital
blog/rol-docente-era-ia/index.md,/blog/rol-docente-era-ia/,page,blog,El rol del docente en la era de la IA,2026-04-26,851,6,3,2,true,3,,true,1,0,0,0,0,0,0,0,conservar,svg-diagrama|tabla-sintesis,rol docente|transformación pedagógica|agenciamiento|futuro de la docencia,opinion,ia|pedagogia|formacion
formacion-docente/_index.md,/formacion-docente/,section,formacion-docente,Formación docente,,180,2,0,0,false,12,,true,1,0,0,0,0,0,0,0,actualizar,,,,digital|formacion
formacion-docente/alfabetizacion/index.md,/formacion-docente/alfabetizacion/,page,formacion-docente,Alfabetización digital,2026-03-17,1214,5,6,2,false,14,,true,1,0,0,1,1,0,0,0,conservar,interaccion-candidata|procedencia,alfabetizacion|literacidad|co-creación|pensamiento-critico,marco-conceptual,digital|ia
formacion-docente/alfabetizacion-agenciamiento-ia/index.md,/formacion-docente/alfabetizacion-agenciamiento-ia/,page,formacion-docente,Alfabetización en co-creación: aprender a co-producir con IA,2026-04-26,2000,10,4,1,false,11,,true,1,0,0,1,1,0,1,0,conservar,fallback-verificar|procedencia,co-creación|alfabetización|co-producción|competencia digital|Deleuze,guia,digital|ia|formacion
formacion-docente/alfabetizacion-co-creacion/index.md,/formacion-docente/alfabetizacion-co-creacion/,page,formacion-docente,Principios de la alfabetización para la co-creación con inteligencia artificial,2026-05-28,1107,5,3,6,false,4,,true,1,0,0,0,0,0,2,0,conservar,svg-diagrama|tabla-sintesis|fallback-verificar|procedencia,alfabetizacion-ia|co-creación|agenciamiento|ensamblaje|literacidad|dirección-epistémica,marco-conceptual,ia|pedagogia|formacion
formacion-docente/alfabetizacion-operativa/index.md,/formacion-docente/alfabetizacion-operativa/,page,formacion-docente,Principios de la alfabetización operativa en inteligencia artificial,2026-05-28,514,1,3,0,false,5,,true,1,0,0,0,0,0,0,0,actualizar,svg-diagrama,alfabetizacion-ia|operativa|prompting|literacidad|competencia-digital,marco-conceptual,ia|pedagogia|formacion
formacion-docente/aprendizaje-activo/index.md,/formacion-docente/aprendizaje-activo/,page,formacion-docente,Qué hace activa una experiencia de aprendizaje,2026-08-03,941,6,1,0,false,1,,true,2,0,1,0,0,0,0,0,actualizar,tabla-sintesis|interaccion-candidata,aprendizaje-activo|active-learning|tecnicas-didacticas|pensamiento-critico|colaboracion,metodologia-pedagogica,pedagogia|formacion
formacion-docente/aprendizaje-hibrido/index.md,/formacion-docente/aprendizaje-hibrido/,page,formacion-docente,Conectar momentos para que el aprendizaje avance,2026-08-03,1178,7,0,0,false,1,,true,3,0,2,0,0,0,0,0,actualizar,tabla-sintesis|interaccion-candidata,blended-learning|aprendizaje-hibrido|modalidades|educacion-en-linea|presencialidad,metodologia-pedagogica,pedagogia|digital
formacion-docente/competencias-digitales-ia-estudiantes/index.md,/formacion-docente/competencias-digitales-ia-estudiantes/,page,formacion-docente,Competencias digitales con IA para estudiantes,2026-04-26,974,14,3,3,false,9,,true,1,0,0,1,0,0,0,0,conservar,svg-diagrama|interaccion-candidata|procedencia,competencias digitales|DigComp|UNESCO|estudiantes|alfabetización,guia,digital|ia|formacion
formacion-docente/diseno-inverso-cocreacion-ia/01-panorama-activo-hibrido/index.md,/formacion-docente/diseno-inverso-cocreacion-ia/01-panorama-activo-hibrido/,page,formacion-docente,Panorama del aprendizaje activo e híbrido,2026-08-23,1100,5,4,1,false,0,,true,3,0,2,0,0,0,1,0,conservar,tabla-sintesis|fallback-verificar|procedencia,aprendizaje activo|aprendizaje híbrido|ICAP|agencia docente,,formacion|pedagogia|ia
formacion-docente/diseno-inverso-cocreacion-ia/02-introduccion-diseno-inverso/index.md,/formacion-docente/diseno-inverso-cocreacion-ia/02-introduccion-diseno-inverso/,page,formacion-docente,Introducción al diseño inverso,2026-08-25,1371,5,0,0,false,0,,true,2,0,1,0,0,0,1,0,actualizar,tabla-sintesis|fallback-verificar,diseño inverso|aprendizaje activo|cocreación|curso abierto,,formacion|pedagogia|ia
formacion-docente/diseno-inverso-cocreacion-ia/03-literacidades-ia/index.md,/formacion-docente/diseno-inverso-cocreacion-ia/03-literacidades-ia/,page,formacion-docente,Literacidades para el uso de IA,2026-08-25,1552,8,3,1,false,0,,true,1,0,0,0,0,0,1,0,conservar,svg-diagrama|tabla-sintesis|fallback-verificar|procedencia,diseño inverso|aprendizaje activo|cocreación|curso abierto,,formacion|pedagogia|ia
formacion-docente/diseno-inverso-cocreacion-ia/04-cocreacion-persona-ia/index.md,/formacion-docente/diseno-inverso-cocreacion-ia/04-cocreacion-persona-ia/,page,formacion-docente,Cocreación persona–IA en el diseño docente,2026-08-25,1464,6,3,0,false,0,,true,1,0,0,0,0,0,1,0,conservar,svg-diagrama|tabla-sintesis|fallback-verificar,diseño inverso|aprendizaje activo|cocreación|curso abierto,,formacion|pedagogia|ia
formacion-docente/diseno-inverso-cocreacion-ia/05-contexto-diagnostico/index.md,/formacion-docente/diseno-inverso-cocreacion-ia/05-contexto-diagnostico/,page,formacion-docente,Delimitación del contexto y diagnóstico inicial,2026-08-25,1792,10,0,0,false,0,,true,1,0,0,0,0,0,1,0,actualizar,svg-diagrama|tabla-sintesis|fallback-verificar,diseño inverso|aprendizaje activo|cocreación|curso abierto,,formacion|pedagogia|ia
formacion-docente/diseno-inverso-cocreacion-ia/06-resultados-aprendizaje/index.md,/formacion-docente/diseno-inverso-cocreacion-ia/06-resultados-aprendizaje/,page,formacion-docente,Formulación de resultados de aprendizaje observables,2026-08-25,2115,12,0,0,false,0,,true,1,0,0,0,0,0,1,0,actualizar,svg-diagrama|tabla-sintesis|fallback-verificar,diseño inverso|aprendizaje activo|cocreación|curso abierto,,formacion|pedagogia|ia
formacion-docente/diseno-inverso-cocreacion-ia/07-evidencias-criterios/index.md,/formacion-docente/diseno-inverso-cocreacion-ia/07-evidencias-criterios/,page,formacion-docente,Determinación de evidencias y criterios de calidad,2026-08-25,2342,14,3,2,false,0,,true,1,0,0,0,0,0,1,0,conservar,svg-diagrama|tabla-sintesis|fallback-verificar|procedencia,diseño inverso|aprendizaje activo|cocreación|curso abierto,,formacion|pedagogia|ia
formacion-docente/diseno-inverso-cocreacion-ia/08-secuencias-activas-hibridas/index.md,/formacion-docente/diseno-inverso-cocreacion-ia/08-secuencias-activas-hibridas/,page,formacion-docente,Diseño de secuencias activas e híbridas,2026-08-25,1543,8,1,0,false,0,,true,1,0,0,0,0,0,1,0,actualizar,svg-diagrama|tabla-sintesis|fallback-verificar,diseño inverso|aprendizaje activo|cocreación|curso abierto,,formacion|pedagogia|ia
formacion-docente/diseno-inverso-cocreacion-ia/09-analisis-casos/index.md,/formacion-docente/diseno-inverso-cocreacion-ia/09-analisis-casos/,page,formacion-docente,Análisis de casos,2026-08-25,1754,9,1,1,false,0,,true,1,0,0,0,0,0,1,0,actualizar,svg-diagrama|tabla-sintesis|fallback-verificar|procedencia,diseño inverso|aprendizaje activo|cocreación|curso abierto,,formacion|pedagogia|ia
formacion-docente/diseno-inverso-cocreacion-ia/10-limitaciones-analisis/index.md,/formacion-docente/diseno-inverso-cocreacion-ia/10-limitaciones-analisis/,page,formacion-docente,Limitaciones del análisis,2026-08-25,1856,10,2,1,false,0,,true,1,0,0,0,0,0,1,0,conservar,svg-diagrama|tabla-sintesis|fallback-verificar|procedencia,diseño inverso|aprendizaje activo|cocreación|curso abierto,,formacion|pedagogia|ia
formacion-docente/diseno-inverso-cocreacion-ia/11-priorizar-intervenciones/index.md,/formacion-docente/diseno-inverso-cocreacion-ia/11-priorizar-intervenciones/,page,formacion-docente,Priorizar intervenciones con evidencia,2026-08-25,1483,9,1,1,false,0,,true,1,0,0,0,0,0,1,0,actualizar,svg-diagrama|tabla-sintesis|fallback-verificar|procedencia,diseño inverso|aprendizaje activo|cocreación|curso abierto,,formacion|pedagogia|ia
formacion-docente/diseno-inverso-cocreacion-ia/12-evaluacion-mejora-continua/index.md,/formacion-docente/diseno-inverso-cocreacion-ia/12-evaluacion-mejora-continua/,page,formacion-docente,"Evaluación, retroalimentación y mejora continua",2026-08-25,1710,9,3,2,false,0,,true,1,0,0,0,0,0,1,0,conservar,svg-diagrama|tabla-sintesis|fallback-verificar|procedencia,diseño inverso|aprendizaje activo|cocreación|curso abierto,,formacion|pedagogia|ia
formacion-docente/diseno-inverso-cocreacion-ia/13-autoevaluacion-final/index.md,/formacion-docente/diseno-inverso-cocreacion-ia/13-autoevaluacion-final/,page,formacion-docente,Autoevaluación final sin calificación,2026-08-25,229,0,0,0,false,0,,true,1,0,0,0,0,0,18,0,fusionar-o-ampliar,fallback-verificar,diseño inverso|aprendizaje activo|cocreación|curso abierto,,formacion|pedagogia|ia
formacion-docente/diseno-inverso-cocreacion-ia/_index.md,/formacion-docente/diseno-inverso-cocreacion-ia/,section,formacion-docente,Diseño inverso y cocreación con IA,,567,4,3,0,false,20,,true,1,0,0,0,0,0,0,0,actualizar,svg-diagrama,diseño inverso|aprendizaje activo|aprendizaje híbrido|cocreación|curso abierto,,formacion|ia|pedagogia
formacion-docente/etica-profesional-docente-ia/index.md,/formacion-docente/etica-profesional-docente-ia/,page,formacion-docente,La dimensión ética del trabajo docente con IA,2026-08-31,1167,4,2,0,false,9,,true,1,0,1,0,0,0,0,0,conservar,tabla-sintesis|interaccion-candidata,ética profesional|formación docente|transparencia|declaración de uso|modelado,guia,formacion|etica
formacion-docente/evaluacion-retroalimentacion/index.md,/formacion-docente/evaluacion-retroalimentacion/,page,formacion-docente,Evaluación y retroalimentación en el aprendizaje activo,2026-04-06,1515,16,2,0,false,0,,true,1,0,0,0,0,0,0,0,conservar,svg-diagrama|tabla-sintesis|interaccion-candidata,evaluacion|retroalimentacion|evaluacion-formativa|evaluacion-sumativa|cat|classroom-assessment-techniques,metodologia-pedagogica,evaluacion|pedagogia
formacion-docente/formacion-continua/index.md,/formacion-docente/formacion-continua/,page,formacion-docente,Formación continua,2026-03-17,370,4,0,0,false,3,,true,1,0,0,0,0,0,0,0,actualizar,,,,formacion|digital
formacion-docente/mapa-literacidades-ia/index.md,/formacion-docente/mapa-literacidades-ia/,page,formacion-docente,Las tres literacidades en IA — mapa visual,2026-05-28,842,6,6,0,false,8,,true,1,0,0,1,3,0,0,0,conservar,,alfabetizacion-ia|literacidad|marco-conceptual|mapa-visual|tres-literacidades,marco-conceptual,digital|ia|formacion
formacion-docente/modelos-samr-icap/index.md,/formacion-docente/modelos-samr-icap/,page,formacion-docente,Dos preguntas distintas sobre una misma actividad,2026-08-03,1027,6,3,0,false,0,,true,2,0,1,0,0,0,0,0,conservar,tabla-sintesis|interaccion-candidata,samr|icap|tecnologia-educativa|integracion-tecnologica|engagement,metodologia-pedagogica,digital|pedagogia
formacion-docente/pensamiento-critico-ia-generativa/index.md,/formacion-docente/pensamiento-critico-ia-generativa/,page,formacion-docente,Pensamiento crítico ante la IA generativa,2026-04-26,1001,10,5,1,false,5,,true,1,0,0,0,0,0,0,0,conservar,svg-diagrama|tabla-sintesis|interaccion-candidata|procedencia,pensamiento crítico|IA generativa|alfabetización|diseño didáctico|evaluación,guia,pedagogia|ia|formacion
formacion-docente/redes/index.md,/formacion-docente/redes/,page,formacion-docente,Redes y comunidades,2026-03-17,423,4,0,1,false,2,,true,1,0,0,0,0,0,0,0,actualizar,procedencia,,,formacion|digital
formacion-docente/syllabus-portafolio/index.md,/formacion-docente/syllabus-portafolio/,page,formacion-docente,El syllabus y el portafolio de docencia,2026-04-06,935,9,0,5,false,0,,true,1,0,0,0,0,0,0,0,actualizar,svg-diagrama|tabla-sintesis|interaccion-candidata|procedencia,syllabus|portafolio|planeacion-didactica|perfil-docente|diseno-curricular,metodologia-pedagogica,formacion|pedagogia
formacion-docente/taller-diseno-actividades-ia-backward/index.md,/formacion-docente/taller-diseno-actividades-ia-backward/,page,formacion-docente,Taller: Diseño de actividades con IA (backward design),2026-04-26,1926,21,2,1,false,8,,true,1,0,0,4,0,0,0,0,conservar,svg-diagrama|interaccion-candidata|procedencia,taller|backward design|diseño didáctico|formación docente|rúbricas,guia,formacion|ia|pedagogia
formacion-docente/taxonomia-bloom-diseno-inverso/index.md,/formacion-docente/taxonomia-bloom-diseno-inverso/,page,formacion-docente,Partir de lo que quieres observar,2026-08-03,940,6,0,0,false,0,,true,2,0,1,0,0,0,0,0,actualizar,tabla-sintesis|interaccion-candidata,taxonomia-bloom|diseno-inverso|backward-design|objetivos-aprendizaje|niveles-cognitivos,metodologia-pedagogica,pedagogia|evaluacion
formacion-docente/transformacion-pedagogica-digital/index.md,/formacion-docente/transformacion-pedagogica-digital/,page,formacion-docente,La transformación pedagógica y digital en la UdeG,2026-04-06,1220,8,0,6,false,7,,true,1,2,0,0,0,0,0,0,actualizar,svg-diagrama|tabla-sintesis|interaccion-candidata|procedencia,transformacion-pedagogica|educacion-superior|aprendizaje-hibrido|UdeG|pandemia,marco-institucional,pedagogia|digital|formacion
ia-educacion/_index.md,/ia-educacion/,section,ia-educacion,IA en educación,,113,2,0,0,false,10,,true,1,0,0,0,0,0,0,0,actualizar,,,,ia
ia-educacion/constelaciones/cocreacion-evaluacion/index.md,/ia-educacion/constelaciones/empezar-con-ia/,page,ia-educacion,Empezar con IA para aprender y enseñar,2026-07-27,1620,8,0,0,false,5,,true,1,0,0,1,0,0,0,0,actualizar,svg-diagrama|interaccion-candidata,introducción a la IA|aprendizaje|docencia|alfabetización en IA,ruta-de-aprendizaje,ia|pedagogia|formacion
ia-educacion/etica-y-transparencia/_index.md,/ia-educacion/etica-y-transparencia/,section,ia-educacion,Ética y transparencia en el uso de IA,,478,2,0,0,false,17,,true,1,0,0,0,0,0,0,0,actualizar,,,,ia|etica
ia-educacion/etica-y-transparencia/alfabetizacion-critica-ia/index.md,/ia-educacion/etica-y-transparencia/alfabetizacion-critica-ia/,page,ia-educacion,Principios de la alfabetización crítica en inteligencia artificial,2026-04-06,675,1,5,7,false,3,,true,1,0,0,0,0,0,0,0,conservar,svg-diagrama|procedencia,alfabetizacion-ia|pensamiento-critico|cognitive-offloading|etica-ia|literacidad,marco-conceptual,ia|pedagogia
ia-educacion/etica-y-transparencia/lineamientos-unesco-ia-educacion/index.md,/ia-educacion/etica-y-transparencia/lineamientos-unesco-ia-educacion/,page,ia-educacion,Síntesis de los lineamientos UNESCO para IA en educación,2026-04-26,898,6,3,3,false,6,,true,1,0,0,1,0,0,0,0,conservar,svg-diagrama|procedencia,UNESCO|lineamientos|política internacional|marco de competencias,guia,ia|etica|formacion
ia-educacion/etica-y-transparencia/marco-etico-ia-educacion-superior/index.md,/ia-educacion/etica-y-transparencia/marco-etico-ia-educacion-superior/,page,ia-educacion,Cuatro criterios éticos para el uso de IA en educación superior,2026-04-22,2092,14,9,4,false,0,,true,1,0,0,2,1,0,0,0,conservar,interaccion-candidata|procedencia,etica-ia|marco-etico|politica-educativa|docencia-universitaria|gobernanza,guia,ia|pedagogia|formacion
ia-educacion/etica-y-transparencia/marco-regulatorio-universidades-mexico/index.md,/ia-educacion/etica-y-transparencia/marco-regulatorio-universidades-mexico/,page,ia-educacion,Marco regulatorio de IA en universidades mexicanas,2026-04-26,1036,7,4,2,false,5,,true,1,0,0,0,0,0,0,0,conservar,svg-diagrama|tabla-sintesis|interaccion-candidata|procedencia,ANUIES|regulación|México|política educativa|marco institucional,guia,ia|etica
ia-educacion/etica-y-transparencia/plagio-autenticidad-era-ia/index.md,/ia-educacion/etica-y-transparencia/plagio-autenticidad-era-ia/,page,ia-educacion,Plagio y autenticidad académica en la era de la IA,2026-04-22,1454,9,6,0,false,0,,true,1,0,0,1,0,0,0,0,conservar,svg-diagrama|interaccion-candidata,plagio|integridad-academica|autenticidad|trazabilidad|autoria,guia,ia|evaluacion|pedagogia
ia-educacion/etica-y-transparencia/sesgos-algoritmicos-equidad/index.md,/ia-educacion/etica-y-transparencia/sesgos-algoritmicos-equidad/,page,ia-educacion,Sesgos algorítmicos y equidad educativa,2026-04-22,1915,14,10,5,false,0,,true,1,0,0,0,1,0,0,0,conservar,tabla-sintesis|interaccion-candidata|procedencia,sesgos-ia|equidad|justicia-epistemica|auditoria|pensamiento-critico,guia,ia|pedagogia|etica
ia-educacion/etica-y-transparencia/transparencia-algoritmica-aula/index.md,/ia-educacion/etica-y-transparencia/transparencia-algoritmica-aula/,page,ia-educacion,Transparencia algorítmica en el aula: prácticas concretas,2026-04-26,877,9,3,1,false,5,,true,1,0,0,0,0,0,0,0,conservar,svg-diagrama|tabla-sintesis|procedencia,transparencia|ética|explicabilidad|rendición de cuentas|prácticas docentes,guia,ia|etica|pedagogia
ia-educacion/guias/_index.md,/ia-educacion/guias/,section,ia-educacion,Guías prácticas de IA,,221,1,0,0,false,7,,true,1,0,0,0,0,0,0,0,actualizar,,,,ia
ia-educacion/guias/abp-con-ia/index.md,/ia-educacion/guias/abp-con-ia/,page,ia-educacion,Aprendizaje basado en proyectos (ABP) con IA,2026-04-20,1285,11,3,0,false,3,,true,1,0,0,1,2,0,0,0,conservar,interaccion-candidata,ABP|metodología|evaluación formativa|agenciamiento (ensamblaje)|trabajo colaborativo,guia,ia|pedagogia
ia-educacion/guias/agenciamiento-humano-ia/index.md,/ia-educacion/guias/agenciamiento-humano-ia/,page,ia-educacion,Conservar la dirección del trabajo con IA,2026-08-03,2110,10,2,2,false,2,,true,4,1,3,2,0,0,1,0,conservar,fallback-verificar|procedencia,agenciamiento|Deleuze|Guattari|co-creación|dirección epistémica,guia,ia|pedagogia
ia-educacion/guias/aprendizaje-activo-con-ia/index.md,/ia-educacion/guias/aprendizaje-activo-con-ia/,page,ia-educacion,Aprendizaje activo con IA — diseño y ejecución de actividades,2026-04-14,1153,12,3,0,false,4,,true,3,0,2,3,1,0,0,0,conservar,interaccion-candidata,aprendizaje activo|diseño didáctico|IA generativa|actividades de aula|retroalimentación,guia,ia|pedagogia
ia-educacion/guias/aprendizaje-hibrido-activo-disenar-actividad/index.md,/ia-educacion/guias/aprendizaje-hibrido-activo-disenar-actividad/,page,ia-educacion,"Aprendizaje híbrido y activo: Diseñar una actividad, paso a paso",2026-08-13,2,0,0,0,false,0,,true,1,0,0,0,0,0,0,0,archivar-o-fusionar,,aprendizaje híbrido|aprendizaje activo|diseño inverso|Bloom|ICAP|co-creación con IA,guia,ia|pedagogia|formacion|digital
ia-educacion/guias/aprendizaje-rizomatico-ia/index.md,/ia-educacion/guias/aprendizaje-rizomatico-ia/,page,ia-educacion,Aprendizaje rizomático con IA,2026-04-26,1037,11,2,0,false,4,,true,1,0,0,1,0,0,0,0,conservar,svg-diagrama|interaccion-candidata,aprendizaje rizomático|Cormier|Deleuze|exploración|currículo abierto,guia,pedagogia|ia|digital
ia-educacion/guias/estudiantes/index.md,/ia-educacion/guias/estudiantes/,page,ia-educacion,Laboratorio guiado para decidir antes de entregar,2026-08-03,308,3,0,0,false,3,,true,1,0,0,0,0,0,0,0,actualizar,,,,ia|formacion
ia-educacion/guias/evaluacion-formativa-ia/index.md,/ia-educacion/guias/evaluacion-formativa-ia/,page,ia-educacion,Evaluación formativa con IA — ciclos de retroalimentación iterativa,2026-04-14,2341,17,6,2,false,4,,true,3,0,2,3,1,0,2,0,conservar,fallback-verificar|procedencia,evaluación formativa|retroalimentación|IA generativa|portafolios|rúbricas,guia,ia|evaluacion|pedagogia
ia-educacion/guias/ingenieria-de-prompts-para-docentes/index.md,/ia-educacion/guias/ingenieria-de-prompts-para-docentes/,page,ia-educacion,Ingeniería de prompts para docentes,2026-03-17,782,5,3,0,false,0,,true,1,0,0,0,0,0,0,0,conservar,svg-diagrama|tabla-sintesis,prompts|diseño didáctico|IA generativa|ingeniería de prompts,guia,ia|pedagogia
ia-educacion/guias/integracion-curricular-ia/index.md,/ia-educacion/guias/integracion-curricular-ia/,page,ia-educacion,Integración curricular de IA en programas existentes,2026-04-26,1276,9,5,2,false,9,,true,1,0,0,1,0,0,0,0,conservar,svg-diagrama|interaccion-candidata|procedencia,integración curricular|perfil de egreso|rediseño de evaluación|syllabus|competencias,guia,ia|pedagogia|formacion
ia-educacion/guias/lineamientos-eticos-ia/index.md,/ia-educacion/guias/lineamientos-eticos-ia/,page,ia-educacion,Veinte sugerencias prácticas para el uso ético de IA en educación superior,2026-04-26,1842,27,4,1,false,10,,true,3,0,2,1,0,0,0,0,conservar,interaccion-candidata|procedencia,ética|sugerencias|criterios|integridad académica|transparencia,guia,ia|etica|pedagogia
ia-educacion/guias/privacidad-datos-ia/index.md,/ia-educacion/guias/privacidad-datos-ia/,page,ia-educacion,Antes de compartir: protege datos y trabajos al usar IA,2026-08-11,894,4,0,0,false,2,,true,1,0,0,1,0,0,0,0,actualizar,svg-diagrama,,,ia|etica
ia-educacion/guias/profesorado/index.md,/ia-educacion/guias/profesorado/,page,ia-educacion,Diseñar actividades y observar el aprendizaje,2026-08-03,832,5,0,0,false,4,,true,1,0,0,1,0,0,0,0,actualizar,svg-diagrama,,,ia|formacion
ia-educacion/integracion-curricular/_index.md,/ia-educacion/integracion-curricular/,section,ia-educacion,Integración curricular,,238,3,0,0,false,2,,true,1,0,0,0,0,0,0,0,actualizar,,,,ia|pedagogia
ia-educacion/integracion-curricular/ia-aprendizaje-hibrido/index.md,/ia-educacion/integracion-curricular/ia-aprendizaje-hibrido/,page,ia-educacion,IA en el aprendizaje híbrido y activo,2026-04-06,773,6,0,2,false,0,,true,1,0,0,0,0,0,0,0,actualizar,svg-diagrama|tabla-sintesis|procedencia,inteligencia-artificial|aprendizaje-hibrido|personalizacion|tutoria-inteligente|analisis-predictivo,ia-en-educacion,ia|pedagogia|digital
ia-educacion/investigacion/index.md,/ia-educacion/investigacion/,page,ia-educacion,Investigar con IA sin perder el rigor,2026-08-11,309,4,0,0,false,0,,false,0,0,0,0,0,0,0,0,actualizar,featured,,,ia|pedagogia
ia-educacion/orientaciones/index.md,/ia-educacion/orientaciones/,page,ia-educacion,Propuesta de Orientaciones para el uso pedagógico de la IA,2026-08-03,346,2,0,0,false,4,,false,0,0,0,0,0,0,0,0,actualizar,featured,,,ia|pedagogia
ia-educacion/practicas/_index.md,/ia-educacion/practicas/,section,ia-educacion,Prácticas con IA,,354,0,0,0,false,4,,false,0,0,0,0,0,0,0,0,actualizar,,,,ia|pedagogia
ia-educacion/practicas/bitacora-cocreacion/index.md,/ia-educacion/practicas/bitacora-cocreacion/,page,ia-educacion,Bitácora breve para registrar decisiones con IA,2026-08-11,488,3,0,0,false,0,,false,0,0,0,2,0,0,0,0,actualizar,featured,,,ia|pedagogia
ia-educacion/practicas/comprobar-afirmacion/index.md,/ia-educacion/practicas/comprobar-afirmacion/,page,ia-educacion,Comprueba la afirmación que cambia tu decisión,2026-08-11,176,1,0,0,false,0,,false,0,0,0,0,0,0,0,0,fusionar-o-ampliar,featured,,,ia|pedagogia
ia-educacion/practicas/declaracion-proporcional-uso/index.md,/ia-educacion/practicas/declaracion-proporcional-uso/,page,ia-educacion,Declaración proporcional de uso de IA,2026-08-30,888,7,0,0,false,3,,true,1,0,1,0,0,0,0,0,actualizar,tabla-sintesis,,,ia|etica
ia-educacion/productos-de-aprendizaje/_index.md,/ia-educacion/productos-de-aprendizaje/,section,ia-educacion,Productos de aprendizaje con IAG,2026-05-11,385,3,0,0,false,5,,true,1,0,0,0,0,0,0,0,actualizar,,producto-aprendizaje|bloom|rubrica-iag|evaluacion-de-procesos,producto-aprendizaje,ia|evaluacion|pedagogia
ia-educacion/productos-de-aprendizaje/analisis-de-casos/index.md,/ia-educacion/productos-de-aprendizaje/analisis-de-casos/,page,ia-educacion,Análisis de casos con IAG,2026-05-11,1494,9,0,0,false,0,,true,1,0,0,3,0,0,0,0,actualizar,svg-diagrama|interaccion-candidata,producto-aprendizaje|bloom-5|rubrica-iag|cognitivas|profesionales|investigación|analisis-de-casos|abc|toma-de-decisiones,producto-aprendizaje,ia|evaluacion|pedagogia
ia-educacion/productos-de-aprendizaje/analisis-de-materiales/index.md,/ia-educacion/productos-de-aprendizaje/analisis-de-materiales/,page,ia-educacion,Análisis de materiales con IAG,2026-05-11,746,9,0,0,false,0,,true,1,0,0,3,0,0,0,0,actualizar,svg-diagrama,producto-aprendizaje|bloom-4|rubrica-iag|ingeniería|investigación|materiales|caracterización,producto-aprendizaje,ia|evaluacion|pedagogia
